gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
SAT1,13.546495,1.1218522,8.310373347787353e-42,5.809825746245232e-40,0.36283489809938174,0.22537742631200575,0.137457471787376
C1orf123,13.541831,28.223213,8.855423038849695e-42,6.174623843834147e-40,0.15590412945576673,0.0,0.15590412945576673
CPE,13.406299,1.0108927,5.55423664123833e-41,3.8325675483412327e-39,0.3750477062819632,0.22573687994248742,0.1493108263394758
CTNNB1,13.383783,1.648683,7.52187279945289e-41,5.1768412639965144e-39,0.2603236394168384,0.11394680086268871,0.14637683855414968
IKBIP,13.378308,1.6150925,8.096939146462346e-41,5.558224428034074e-39,0.2551331959392413,0.10603882099209203,0.14909437494714925
NME4,13.377197,1.7171462,8.21880719502912e-41,5.6273410294624636e-39,0.2425769025265247,0.0916606757728253,0.1509162267536994
FKBP11,13.375098,2.0571938,8.454211727222544e-41,5.758835608856259e-39,0.21799862605907946,0.06721782890007189,0.15078079715900758
GUK1,13.337408,0.7330802,1.4025182862344303e-40,9.480738115039154e-39,0.5249980917487215,0.4094176851186197,0.11558040663010177
IGFBP2,13.197237,2.7056127,9.101217969742375e-40,6.105630216772119e-38,0.19051980764827112,0.040258806613946804,0.15026100103432433
PGAM1,13.1177,1.816195,2.6072992759588172e-39,1.7359777585243593e-37,0.22593695137775743,0.07584471603163193,0.1500922353461255
LMAN1,13.105813,0.80675447,3.0497495233448946e-39,2.020440045814974e-37,0.4618731394550034,0.3447160316319195,0.11715710782308392
C1QTNF6,13.101638,2.8167589,3.22227315690252e-39,2.1294255892107554e-37,0.18284863750858713,0.03342918763479511,0.14941944987379202
FKBP14,13.068736,1.9464132,4.968438101995868e-39,3.267116995485699e-37,0.22032669261888405,0.07332854061826025,0.1469981520006238
ISLR,13.029658,1.2470155,8.297805075328177e-39,5.416203676441483e-37,0.30509121441111364,0.16462976276060387,0.14046145165050977
GNAS,13.023401,0.49428672,9.006743922617604e-39,5.864538211967139e-37,0.6928478742080757,0.6315600287562905,0.06128784545178523
NRP2,12.981826,1.8216382,1.5513795716072372e-38,1.0052182853492162e-36,0.22181512861613617,0.07260963335729691,0.14920549525883925
FAM198B,12.941813,28.193201,2.613867563897011e-38,1.685437031613786e-36,0.1489962598274941,0.0,0.1489962598274941
GJA1,12.936126,1.2221673,2.814699473648195e-38,1.810540102105035e-36,0.3084879016868941,0.16822429906542055,0.14026360262147355
MYDGF,12.910966,0.8565697,3.903708980761847e-38,2.504974221809643e-36,0.43027249828257386,0.3076923076923077,0.12258019059026615
CHPF,12.897604,2.4091225,4.643110325537353e-38,2.9651170410631085e-36,0.1929623692847874,0.04636951833213515,0.14659285095265226
MAGED1,12.775124,2.0937264,2.2578902160506602e-37,1.4247769947648893e-35,0.20334325623998167,0.05751258087706686,0.14583067536291483
FABP5,12.691445,1.4297061,6.595750859551189e-37,4.132611257897096e-35,0.27810854133272267,0.13551401869158877,0.1425945226411339
GLT8D2,12.55437,1.6077557,3.761630222304157e-36,2.3348473945264543e-34,0.2335317914663003,0.09022286125089864,0.14330893021540164
SMIM37,12.530751,28.150112,5.0680176707926014e-36,3.1310920335413085e-34,0.14426379665674377,0.0,0.14426379665674377
HDLBP,12.520772,0.9301554,5.747348870829704e-36,3.5343534745940257e-34,0.3819174108846653,0.2541337167505392,0.1277836941341261
CDH11,12.504467,1.2384838,7.057130730426749e-36,4.329786027356051e-34,0.282841004503473,0.13838964773544213,0.14445135676803086
IGFBP3,12.411521,1.5327524,2.2631336470268985e-35,1.3789543226357014e-33,0.24555377452102892,0.10460100647016535,0.14095276805086357
LRRC15,12.255178,2.2313795,1.5760144914235063e-34,9.515545677081106e-33,0.18685596519349668,0.04636951833213515,0.14048644686136152
HMGN2,12.152806,0.90911263,5.542957162439259e-34,3.3240225728524006e-32,0.3790168689413022,0.2519769949676492,0.12703987397365302
HCFC1R1,12.0772705,1.229295,1.392667737334074e-33,8.221691357781558e-32,0.28398595527059,0.15240833932422718,0.13157761594636283
PRDX5,12.075285,0.7622701,1.4266900590041416e-33,8.403868759978719e-32,0.4470651095336234,0.33537023723939613,0.11169487229422725
HSPA5,11.995668,0.79278857,3.743812442224885e-33,2.190707518505425e-31,0.4280207617739104,0.3130841121495327,0.11493664962437772
IER2,11.945338,0.7040881,6.86704653586082e-33,4.0006569796420735e-31,0.5152278452026563,0.4173256649892164,0.09790218021343988
RPL22L1,11.911021,0.9506233,1.0369904455767154e-32,6.0149974186006605e-31,0.3582550950309137,0.23903666427030912,0.11921843076060457
TPI1,11.883046,0.85978514,1.4498528877569693e-32,8.39145791201561e-31,0.39065720174032514,0.2685118619698059,0.12214533977051922
TMEM176B,11.822979,1.2867432,2.9696245604303926e-32,1.7075983998353637e-30,0.2566216319364934,0.12041696621135874,0.13620466572513468
CYBA,11.810362,0.8308805,3.4507402357159e-32,1.979964689028695e-30,0.3966491107549042,0.2753414809489576,0.12130762980594662
ARPC3,11.768039,0.7105483,5.70351962927515e-32,3.265510829123354e-30,0.4611098389435921,0.35298346513299783,0.10812637381059426
C4orf48,11.760645,1.9869734,6.225705901846948e-32,3.5568194191067966e-30,0.19284787420807573,0.05895039539899353,0.1338974788090822
GUCY1A1,11.704281,2.3665988,1.2118182939007107e-31,6.893611305303272e-30,0.17326921609037477,0.038820992092020126,0.13444822399835465
ID3,11.701353,0.8044301,1.2543675160216676e-31,7.120411844152055e-30,0.4395084344706511,0.33069734004313445,0.10881109442751663
C9orf16,11.611323,0.8767067,3.6098338902486706e-31,2.0360689411538466e-29,0.37207083428745896,0.2526959022286125,0.11937493205884647
FBN1,11.601778,0.7356387,4.03605167198885e-31,2.2716472186028765e-29,0.4453095183573773,0.3274622573687994,0.1178472609885779
FOXP1,11.545423,1.4077377,7.785780036767617e-31,4.3728759504602223e-29,0.23585985802610487,0.10460100647016535,0.13125885155593953
ANGPTL2,11.499111,1.5106578,1.3328051270701029e-30,7.422914256969466e-29,0.22822685291199146,0.10028756290438534,0.12793929000760612
MAFB,11.46579,1.2841777,1.9596393246496988e-30,1.0823238731526797e-28,0.2546752156323945,0.1250898634076204,0.12958535222477408
PLOD2,11.41991,3.1233885,3.325747128852946e-30,1.8292297769173367e-28,0.15132432638729867,0.020129403306973402,0.13119492308032527
MMP14,11.35877,0.97607917,6.708227662395018e-30,3.6593588517286663e-28,0.3277994046256011,0.20776419841840402,0.12003520620719707
MGST3,11.347628,0.4548116,7.620222980300748e-30,4.1483369609563455e-28,0.673078390962522,0.615744069015097,0.05733432194742494
TGFBI,11.248225,1.4498289,2.362997735827567e-29,1.273334641987731e-27,0.2351347225402641,0.11179007907979871,0.12334464346046539
BMP1,11.225483,2.6281157,3.057102812391604e-29,1.6407069356362696e-27,0.15823219601557134,0.029115744069015098,0.12911645194655624
SELENOM,11.13231,0.43791747,8.734201201823052e-29,4.6499556939405046e-27,0.7059384779787803,0.6488138030194105,0.05712467495936979
MXRA5,11.120353,0.8365607,9.987648713429853e-29,5.306637514419549e-27,0.36646057552858563,0.24838245866283248,0.11807811686575315
TUBA1C,11.097666,1.4982882,1.2876280572919055e-28,6.814168719126844e-27,0.21899091672391421,0.09453630481667864,0.12445461190723557
C9orf3,11.08872,27.97693,1.4230855779958808e-28,7.516042040763136e-27,0.12766201053354706,0.0,0.12766201053354706
SRM,11.000658,1.8232214,3.793527698440708e-28,1.9956209274609078e-26,0.1913594382108236,0.06721782890007189,0.12414160931075172
SCX,10.999329,3.9740472,3.849885258004747e-28,2.0212658451413855e-26,0.1379284024120296,0.01186196980589504,0.12606643260613457
PDIA3,10.989108,0.68275017,4.31165735611187e-28,2.2592404205614976e-26,0.44687428440577054,0.3425593098490295,0.10431497455674105
ERLEC1,10.979861,1.0458875,4.776565302142894e-28,2.49791798851827e-26,0.28848942828791696,0.16750539180445723,0.12098403648345973
GSTP1,10.872821,0.47596684,1.5532361406484636e-27,7.981290389258623e-26,0.6237691779253492,0.5582314881380301,0.06553768978731911
PDGFRL,10.860888,0.81315905,1.7701969963015908e-27,9.061089287812728e-26,0.36478131440348066,0.2426312005751258,0.12215011382835486
RAB2A,10.838623,0.63847977,2.2584494696612026e-27,1.153807088673452e-25,0.47103274559193953,0.3723939611790079,0.09863878441293161
THBS4,10.7478485,4.485713,6.066003292233546e-27,3.081251309014845e-25,0.1310968628348981,0.007548526240115025,0.12354833659478308
PDLIM2,10.682407,0.7378519,1.2303889269571223e-26,6.22600233019865e-25,0.4012670788489428,0.29654924514737596,0.10471783370156684
SOX4,10.645034,0.6929744,1.8391669146581292e-26,9.288841873537616e-25,0.4313411189985497,0.3188353702372394,0.11250574876131031
CTSA,10.576536,2.0300455,3.828493301015286e-26,1.9226418343057106e-24,0.16838409281734218,0.04708842559309849,0.12129566722424369
LSM7,10.566281,0.7061684,4.2709360865032313e-26,2.140786567434808e-24,0.40981604457674986,0.3080517613227894,0.10176428325396047
MRC2,10.558204,0.7430103,4.6548258765395184e-26,2.3288155223380197e-24,0.38779482482253264,0.2785765636232926,0.10921826119924005
CAPZB,10.5512,0.8399919,5.015252722195087e-26,2.504421124395389e-24,0.3396305625524769,0.2271746944644141,0.11245586808806282
