gene,Deng:KeloidC3_MFB_vs_NSfib,Direder:Keloid_vs_Healthy,Direder:Keloid_vs_NormalScar,Direder:NormalScar_vs_Healthy,Wound:D7_vs_Skin,Wound:D30_vs_Skin,Wound:D7_FBI_vs_Skin
AC004921.1,-17.877989,,,,,,
AC004922.1,1.2216005,,,,,,
AC004923.4,-18.321592,,,,,,
AC004930.1,1.7623395,,,,,,
AC004936.1,0.0,,,,,,
AC004941.1,-16.08261,,,,,,
AC004943.1,-18.28919,,,,,,
AC004943.2,-0.19436236,,,,,,
AC004943.3,0.0,,,,,,
AC004944.1,0.0,,,,,,
AC004946.1,0.0,,,,,,
AC004947.1,0.0,,,,,,
AC004948.1,0.0,,,,,,
AC004949.1,0.0,,,,,,
AC004951.1,0.7576387,,,,,,
AC004969.1,0.0,,,,,,
AC004973.1,0.0,,,,,,
AC004975.2,0.0,,,,,,
AC004982.1,-19.772593,,,,,,
AC004982.2,-1.2925137,,,,,,
AC004988.1,2.1760569,,,,,,
AC004990.1,3.0066793,,,,,,
AC004994.1,0.0,,,,,,
AC004997.1,-16.997288,,,,,,
AC005005.3,-17.023287,,,,,,
AC005008.2,0.0,,,,,,
AC005009.1,-18.919758,,,,,,
AC005009.2,-18.595049,,,,,,
AC005013.1,0.32501197,,,,,,
AC005014.2,-21.253803,,,,,,
AC005014.3,0.62963396,,,,,,
AC005019.2,-20.266525,,,,,,
AC005020.2,0.0,,,,,,
AC005021.1,0.0,,,,,,
AC005034.2,0.0,,,,,,
AC005034.3,0.27981186,,,22.574718,,,
AC005034.4,-18.513952,,,,,,
AC005037.1,0.21967016,,,,,,
AC005041.1,18.591413,,,,,,
AC005041.3,0.0,,,,,,
AC005042.2,0.0,,,,,,
AC005046.1,0.65411454,,,,,,
AC005050.1,0.0,,,,,,
AC005064.1,-22.022736,,,,,,
AC005070.3,0.37130943,,,,,,
AC005076.1,-0.3325492,,,,,,
AC005082.1,0.76838493,,,,,,
AC005086.1,0.0,,,,,,
AC005090.1,0.0,,,,,,
AC005091.1,0.746822,,,,,,
AC005096.1,18.607252,,,,,,
AC005104.1,-0.3346696,,,,,,
AC005144.1,0.0,,,,,,
AC005150.1,0.0,,,,,,
AC005154.4,0.0,,,,,,
AC005154.5,-16.08799,,,,,,
AC005154.6,-17.301634,,,,,,
AC005162.1,0.0,,,,,,
AC005162.2,-16.332483,,,,,,
AC005162.3,-3.4481091,,,,,,
AC005165.1,0.6512106,,,,,,
AC005180.1,1.8719867,,,,,,
AC005180.2,-15.881836,,,,,,
AC005186.1,0.0,,,,,,
AC005197.1,-18.03086,,,,,,
AC005208.1,0.0,,,,,,
AC005209.1,0.0,,,,,,
AC005220.1,-16.91785,,,,,,
AC005224.1,0.6573005,,,,,,
AC005224.2,17.691046,,,,,,
AC005224.3,0.56362325,,,5.9099727,,,
AC005224.4,0.7232061,,,,,,
AC005225.2,0.2697079,,,,,,
AC005225.3,0.0,,,,,,
AC005229.4,0.7786965,,,,,,
AC005232.1,0.0,,,,,,
AC005234.1,0.0,,,,,,
AC005237.1,0.0,,,,,,
AC005244.2,-17.616695,,,,,,
AC005253.1,-0.2051775,,,,,,
AC005253.2,-16.381195,,,,,,
AC005256.1,0.0,,,,,,
AC005258.1,0.0,,,,,,
AC005261.1,0.58412445,0.46438104,,0.79714066,,,
AC005261.2,1.0209774,,,,,,
AC005261.3,1.206684,,,23.491955,,,
AC005262.2,0.0,,,,,,
AC005264.1,2.5436435,,,,,,
AC005277.1,0.0,,,,,,
AC005277.2,-16.969206,,,,,,
AC005280.2,-20.247728,,,,,,
AC005281.1,0.0,,,,,,
AC005288.1,0.8089091,,,,,,
AC005291.1,1.5259066,,,,,,
AC005291.2,1.8328555,,,,,,
AC005303.1,-18.79644,,,,,,
AC005304.1,-16.899578,,,,,,
AC005304.2,0.0,,,,,,
AC005304.3,0.40997902,,,,,,
AC005307.1,-16.331299,,,,,,
AC005323.1,0.0,,,,,,
AC005323.2,19.802858,,,,,,
AC005324.1,-16.656586,,,,,,
AC005324.2,0.0,,,,,,
AC005324.3,-2.7731853,,,,,,
AC005324.4,0.0,,,,,,
AC005324.5,0.0,,,,,,
AC005329.1,1.7537805,,,,,,
AC005329.2,2.1301692,,,,,,
AC005329.3,0.0,,,,,,
AC005330.1,-16.434082,,,,,,
AC005332.1,-0.5339216,,,,,,
AC005332.3,-1.3460392,,,,,,
AC005332.4,-0.35339683,,,,,,
AC005332.5,-1.3511753,,,,,,
AC005332.6,-0.28001317,,,,,,
AC005332.7,0.17485563,4.8760705,,5.5875306,,,
AC005332.8,-3.9459264,,,,,,
AC005339.1,0.4542927,,,,,,
AC005342.1,3.747534,,,,,,
AC005342.2,0.0,,,,,,
AC005344.1,0.0,,,,,,
AC005355.1,0.0,,,,,,
AC005358.1,0.0,,,,,,
AC005358.2,0.0,,,,,,
AC005363.2,1.5349947,,,,,,
AC005379.1,0.0,,,,,,
AC005381.1,0.0,,,,,,
AC005383.1,0.9090094,,,,,,
AC005387.1,0.0,,,,,,
AC005387.2,0.0,,,,,,
AC005392.1,0.0,,,,,,
AC005392.2,-15.9448595,,,,,,
AC005392.3,0.0,,,,,,
AC005393.1,-0.6369398,,,,,,
AC005394.1,0.0,,,,,,
AC005410.2,0.0,,,,,,
AC005476.2,-0.7449484,,,,,,
AC005479.1,-18.59935,,,,,,
AC005479.2,-19.281698,,,,,,
AC005480.1,-0.9754567,,,,,,
AC005481.1,0.0,,,,,,
AC005482.1,0.0,,,,,,
AC005486.1,0.0,,,,,,
AC005487.1,-16.33868,,,,,,
AC005498.1,-15.97521,,,,,,
AC005498.2,-0.6752989,,,,,,
AC005498.3,-0.5262434,,,,,,
AC005515.2,0.0,,,,,,
AC005520.1,-18.8035,,,,,,
AC005520.2,-0.8421396,,,,,,
AC005520.5,-16.907507,,,,,,
AC005522.1,0.0,,,,,,
AC005523.1,-1.533982,,,,,,
AC005523.2,-0.3819154,,,,,,
AC005534.1,-0.30675986,,,,,,
AC005537.1,-2.9636164,,,,,,
AC005538.1,0.0,,,,,,
AC005540.1,1.1301826,,,,,,
AC005544.1,0.0,,,,,,
AC005544.2,0.0,,,,,,
AC005546.1,-18.159935,,,,,,
AC005549.1,0.0,,,,,,
AC005550.1,0.0,,,,,,
AC005550.2,-19.877634,,,,,,
AC005551.1,0.0,,,,,,
AC005552.1,0.0,,,,,,
AC005580.1,0.0,,,,,,
AC005586.1,0.0,,,,,,
AC005592.1,0.0,,,,,,
AC005597.1,0.0,,,,,,
AC005606.1,-16.230577,,,,,,
AC005606.2,0.0,,,,,,
AC005609.1,0.0,,,,,,
AC005609.2,0.0,,,,,,
AC005609.3,0.0,,,,,,
AC005609.4,0.0,,,,,,
AC005609.5,-16.707062,,,,,,
AC005614.1,-1.1916717,,,,,,
AC005616.1,0.0,,,,,,
AC005618.1,-0.68875504,,,,,,
AC005618.2,0.0,,,,,,
AC005618.3,0.0,,,,,,
AC005625.1,-17.741652,,,,,,
AC005632.4,-15.832057,,,,,,
AC005670.1,-16.536499,,,,,,
AC005670.2,-1.0730509,,,,,,
AC005674.1,0.0,,,,,,
AC005692.1,0.0,,,,,,
AC005692.2,0.0,,,,,,
AC005695.1,-17.32251,,,,,,
AC005695.2,0.0,,,,,,
AC005695.3,-19.210747,,,,,,
AC005696.1,-0.5731069,,,,,,
AC005696.2,-18.95078,,,,,,
AC005696.3,0.0,,,,,,
AC005696.4,1.4042418,,,,,,
AC005697.1,-16.568674,,,,,,
