gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
SNX30,0.44764534,0.69723994,0.6544091790069185,1.0,0.01638217436132432,0.010783608914450037,0.005598565446874284
DUSP7,0.44753397,0.50091124,0.6544895762005438,1.0,0.0266926337495704,0.021207764198418404,0.005484869551151995
ITGA2,0.44752413,0.7363106,0.6544966702629862,1.0,0.016725856340932523,0.011143062544931704,0.005582793796000818
FKBP1A,0.4472981,0.20556314,0.6546598423093201,1.0,0.14159697559857945,0.14162473040977713,-2.7754811197683305e-05
IGHA1,0.44655776,23.906338,0.655194405361523,1.0,0.0056134723336006415,0.0,0.0056134723336006415
MIER2,0.44566017,1.5138754,0.6558427409651111,1.0,0.008477488830335663,0.002875629043853343,0.00560185978648232
RSPRY1,0.4453064,0.31072384,0.6560983606008677,1.0,0.051781418260969186,0.04672897196261682,0.005052446298352366
AZI2,0.4443367,0.29988652,0.6567991541320859,1.0,0.06518501546568908,0.06074766355140187,0.0044373519142872145
IQCN,0.44363242,0.9169075,0.657308365837532,1.0,0.011685187306678887,0.006110711718188354,0.005574475588490533
USP45,0.4424236,1.1271422,0.6581826860404604,1.0,0.012716233245503495,0.007189072609633357,0.0055271606358701375
AADACL2,0.4423352,1.622491,0.6582466790652723,1.0,0.010195898728376675,0.004672897196261682,0.005523001532114993
HLA-DQA1,0.44206327,1.0085598,0.6584434140401475,1.0,0.012372551265895291,0.006829618979151689,0.0055429322867436015
TINAGL1,0.44154242,0.9272142,0.6588203579157166,1.0,0.012372551265895291,0.006829618979151689,0.0055429322867436015
RGPD5,0.4413,0.5204006,0.6589958204848296,1.0,0.026578073089700997,0.021207764198418404,0.005370308891282594
FAM13C,0.4412771,0.32202104,0.6590124192673746,1.0,0.022797571314010768,0.017253774263120056,0.005543797050890711
PRR16,0.43989468,0.6069605,0.660013398754188,1.0,0.015580249742238515,0.010064701653486701,0.0055155480887518135
RFX7,0.43981606,0.5777179,0.6600703448113723,1.0,0.01913163019818994,0.013659237958303379,0.0054723922398865615
HSD11B2,0.43812242,1.7499682,0.6612975354148627,1.0,0.00801924619085806,0.0025161754133716753,0.005503070777486384
R3HDM2,0.4379357,0.1796174,0.6614328907626438,1.0,0.08271279642570742,0.07836089144500359,0.004351904980703827
CYYR1,0.43760157,0.65494716,0.6616751332191622,1.0,0.01626761370145492,0.010783608914450037,0.005484004787004882
AL357055.3,0.43744433,23.340103,0.6617891419277213,1.0,0.0054989116737312405,0.0,0.0054989116737312405
FAM180A,0.4369038,0.3046422,0.6621811066618386,1.0,0.061289953030129456,0.056793673616103525,0.0044962794140259305
KERA,0.43554762,1.4361498,0.6631649891506308,1.0,0.008706610150074465,0.003235082674335011,0.005471527475739454
TPSB2,0.43357226,2.49099,0.6645990749992757,1.0,0.006529957612555848,0.0010783608914450035,0.005451596721110845
GUCY1A2,0.43341503,1.5612265,0.6647132839451917,1.0,0.009737656088899073,0.004313443565780014,0.005424212523119059
SLC22A17,0.43303502,0.2923007,0.6649893210280258,1.0,0.03757589643716348,0.03235082674335011,0.005225069693813367
SLC7A6,0.4329564,0.5013356,0.665046437821233,1.0,0.020850040096230954,0.015456506110711718,0.005393533985519236
SATB1,0.432714,0.5085606,0.6652225601716617,1.0,0.02543246649100699,0.020129403306973402,0.005303063184033587
PLA2G5,0.43094504,1.7331723,0.6665083361119643,1.0,0.007217321571772253,0.0017972681524083393,0.0054200534193639145
CCDC92,0.43052244,0.33907378,0.6668156389213367,1.0,0.026234391110092795,0.020848310567936738,0.005386080542156058
SOX17,0.43041435,2.0948083,0.6668942602509254,1.0,0.007561003551380456,0.002156721782890007,0.005404281768490449
ENO2,0.4301621,0.37878594,0.6670777242452723,1.0,0.023714056592965976,0.01833213515456506,0.005381921438400914
LINC02544,0.4300573,1.2900494,0.6671539748784958,1.0,0.010768702027723679,0.005391804457225018,0.005376897570498661
UPF2,0.4291597,0.2851428,0.6678070115879807,1.0,0.08775346545996104,0.08483105679367361,0.0029224086662874293
HRK,0.4283309,23.32214,0.6684102214649028,1.0,0.0053843510138618395,0.0,0.0053843510138618395
SDC3,0.42779365,0.5127549,0.6688013494170448,1.0,0.029212968266697215,0.024083393242271746,0.005129575024425469
AC006449.6,0.42752832,1.5610385,0.6689945616392124,1.0,0.008248367510596861,0.002875629043853343,0.005372738466743518
IQGAP2,0.42730883,1.0211879,0.6691543957209822,1.0,0.011112384007331883,0.005751258087706686,0.005361125919625197
TNIK,0.42704678,1.282283,0.6693452620214999,1.0,0.008248367510596861,0.002875629043853343,0.005372738466743518
SINHCAF,0.4266602,0.5244057,0.6696268288041258,1.0,0.019704433497536946,0.014378145219266714,0.005326288278270232
ALDH18A1,0.42574954,0.47858167,0.670290364584374,1.0,0.019704433497536946,0.014378145219266714,0.005326288278270232
COL15A1,0.42406246,0.23828498,0.6715202560935642,1.0,0.14652308397296368,0.15061107117181882,-0.004087987198855142
EPPK1,0.42365953,2.5829813,0.6718141274964388,1.0,0.00675907893229465,0.0014378145219266715,0.005321264410367978
AGO3,0.42277506,0.22329019,0.6724593869459429,1.0,0.07858861267040898,0.07476635514018691,0.00382225753022207
OBSL1,0.42241472,0.35891598,0.6727223396370265,1.0,0.023255813953488372,0.017972681524083392,0.00528313242940498
IBTK,0.42207074,0.21466307,0.6729733772738788,1.0,0.04605338526749914,0.040977713874910136,0.005075671392589007
HK2,0.42197576,1.1906604,0.6730427179027598,1.0,0.009966777408637873,0.004672897196261682,0.005293880212376191
CLDN1,0.42183816,0.49934363,0.6731431471898894,1.0,0.0266926337495704,0.021567217828900073,0.005125415920670326
ITGA8,0.42176282,0.23146178,0.6731981466506071,1.0,0.021537404055447358,0.016175413371675055,0.005361990683772303
GPR183,0.42054093,1.2383305,0.6740903382528308,1.0,0.010654141367854279,0.005391804457225018,0.005262336910629261
ANKRD36,0.41974816,0.4566422,0.6746694317678164,1.0,0.018215144919234736,0.012940330697340043,0.005274814221894693
AC009414.2,0.41921747,23.070877,0.6750571971209811,1.0,0.005269790353992439,0.0,0.005269790353992439
AIF1L,0.41880473,0.65744716,0.6753588520487221,1.0,0.017069538320540725,0.01186196980589504,0.005207568514645685
RARRES1,0.4174387,1.5931215,0.676357557875662,1.0,0.008477488830335663,0.003235082674335011,0.005242406156000652
CACNA1G,0.41725525,0.53723794,0.6764917200648193,1.0,0.020964600756100356,0.015815959741193385,0.00514864101490697
SGPP1,0.4172061,0.5859257,0.6765276581094726,1.0,0.020620918776492154,0.015456506110711718,0.005164412665780436
GRIP2,0.41681302,3.2465138,0.6768151889839895,1.0,0.005957154313208844,0.0007189072609633358,0.005238247052245509
ARHGEF3,0.41510957,0.40868795,0.6780617000849762,1.0,0.0270363157291786,0.02192667145938174,0.005109644269796862
GPX7,0.41452318,0.31995556,0.678490991713242,1.0,0.03413907664108145,0.029115744069015098,0.005023332572066351
TCEA3,0.4143037,0.1269048,0.678651703137154,1.0,0.0539580707984878,0.04888569374550683,0.00507237705298097
DTX3,0.41405147,0.509226,0.6788364193895682,1.0,0.02165196471531676,0.01653486700215672,0.005117097713160039
INTS3,0.41318992,0.40843782,0.6794674787692292,1.0,0.023828617252835377,0.018691588785046728,0.00513702846778865
TRAK1,0.41305232,0.2787936,0.6795682771286555,1.0,0.04639706724710734,0.041696621135873475,0.004700446111233866
RPS28,0.41226286,-0.14231154,0.6801467784103734,1.0,0.9152251116966433,0.9568655643421998,-0.04164045264555649
IL1RL1,0.41204992,1.9215615,0.6803028379844203,1.0,0.007331882231641654,0.002156721782890007,0.005175160448751647
COL10A1,0.41191232,1.9251895,0.6804036837611702,1.0,0.007331882231641654,0.002156721782890007,0.005175160448751647
SAMD1,0.41177148,0.37770227,0.6805069365489969,1.0,0.039981670294420894,0.03522645578720345,0.004755214507217442
PILRB,0.41157165,0.45497787,0.6806534217081244,1.0,0.017756902279757132,0.012580877066858375,0.005176025212898757
DLG4,0.4115094,0.7801545,0.6806990506940629,1.0,0.013059915225111697,0.007907979870596693,0.005151935354515004
BCL6B,0.41092956,0.953525,0.6811241768574201,1.0,0.013403597204719899,0.00826743350107836,0.005136163703641538
VOPP1,0.41082802,0.3762659,0.6811986444106077,1.0,0.03264978806277924,0.027677929547088427,0.004971858515690812
AC108863.1,0.41010407,23.448431,0.6817296159863773,1.0,0.0051552296941230384,0.0,0.0051552296941230384
AC116366.3,0.41010407,23.106462,0.6817296159863773,1.0,0.0051552296941230384,0.0,0.0051552296941230384
AC073111.5,0.41010407,22.967085,0.6817296159863773,1.0,0.0051552296941230384,0.0,0.0051552296941230384
VEGFC,0.40946525,0.5375601,0.6821982512617284,1.0,0.01913163019818994,0.014018691588785047,0.005112938609404894
TTF2,0.40898043,0.6936618,0.6825540152602179,1.0,0.01764234161988773,0.012580877066858375,0.005061464553029355
SETBP1,0.40866923,0.21288827,0.6827824144673003,1.0,0.0795050979493642,0.07584471603163193,0.0036603819177322694
FAM117B,0.40817457,0.9724203,0.6831455087719069,1.0,0.011226944667201283,0.006110711718188354,0.005116232949012929
ADGRG6,0.40783718,3.688611,0.6833932244376644,1.0,0.005842593653339443,0.0007189072609633358,0.005123686392376108
A2M,0.40772578,0.30554354,0.683475002142462,1.0,0.05682208729522282,0.052480230050323505,0.004341857244899314
PYGO2,0.40679872,0.76940703,0.6841558252968069,1.0,0.011226944667201283,0.006110711718188354,0.005116232949012929
SP4,0.40612718,0.6059669,0.6846491614980765,1.0,0.01764234161988773,0.012580877066858375,0.005061464553029355
NFKBID,0.4060846,0.3033674,0.684680450772122,1.0,0.02451598121205178,0.019410496046010063,0.0051054851660417185
LINC01089,0.40500683,0.80898434,0.6854724900954834,1.0,0.015809371061977318,0.010783608914450037,0.005025762147527282
