gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane
AL139274.2,-0.5763075,-1.1067584,0.564407378600682,1.0,0.03435114503816794,0.04433853264009243,-0.00998738760192449,False,False
LINC02352,-0.5767467,-4.1620154,0.5641105646491029,1.0,0.0009541984732824427,0.011987290583477759,-0.011033092110195316,False,False
ALDH3A1,-0.57709235,-4.9057226,0.5638770589861848,1.0,0.0009541984732824427,0.011987290583477759,-0.011033092110195316,False,False
PQBP1,-0.57745963,-0.41842756,0.5636290102495913,1.0,0.43416030534351147,0.3525418833044483,0.08161842203906317,False,False
LTB4R,-0.5784677,-1.5890634,0.5629483625894357,1.0,0.01717557251908397,0.027874061236279606,-0.010698488717195635,False,True
LINC01023,-0.57916623,-1.1387348,0.562477003685367,1.0,0.025763358778625955,0.036250722125938765,-0.01048736334731281,False,False
STEAP3,-0.57924545,-2.195671,0.5624235626466494,1.0,0.0057251908396946565,0.016753321779318313,-0.011028130939623657,False,True
HINT2,-0.5801024,-0.3850398,0.5618455845619779,1.0,0.4169847328244275,0.34474292316580013,0.07224180965862737,False,False
AC106738.1,-0.5807288,-3.1258748,0.5614232109036863,1.0,0.003816793893129771,0.01487579433853264,-0.01105900044540287,False,False
SULT1A2,-0.5810889,-23.032612,0.5611805369370019,1.0,0.0,0.011120739456961294,-0.011120739456961294,False,False
VDAC3,-0.5812041,-0.20334774,0.5611028919886414,1.0,0.5782442748091603,0.4560947429231658,0.12214953188599448,False,False
FBXO27,-0.581881,-1.6349936,0.560646832939216,1.0,0.013358778625954198,0.024263431542461005,-0.010904652916506807,False,False
ANKRD65,-0.58430773,-0.7293815,0.559013289786408,1.0,0.12595419847328243,0.1270941652224148,-0.0011399667491323595,False,False
MOCS1,-0.5861224,-1.4944879,0.5577932801094048,1.0,0.020038167938931296,0.03076256499133449,-0.010724397052403193,False,False
CLCN4,-0.58818907,-1.0109206,0.5564054044072724,1.0,0.04770992366412214,0.05704794916233391,-0.00933802549821177,False,True
AL445524.1,-0.5885275,-1.1945881,0.5561782821907909,1.0,0.016221374045801526,0.02729636048526863,-0.011074986439467104,False,False
CEP128,-0.5886355,-1.5826008,0.5561058058982216,1.0,0.019083969465648856,0.029896013864818025,-0.01081204439916917,False,False
