gene,k_mean,n_mean,delta,log_ratio,specificity,cohens_d,zsum,borda_rank
PTPRD,0.09292152,0.009167021,0.083754495,3.2075586,0.9102052,0.23166347,6.46119,50
HMCN2,0.15709938,0.03725242,0.11984696,2.047209,0.8083248,0.24895516,4.7121253,51
MDFI,0.2838659,0.08450199,0.19936392,1.7362529,0.7706044,0.25904927,4.799938,52
INHBA,0.37756896,0.120541066,0.2570279,1.6391122,0.7580031,0.31340003,5.088913,53
MFAP2,0.8435492,0.29994538,0.5436038,1.4886798,0.7376941,0.50317764,7.108363,54
TGFBI,1.5118741,0.56568515,0.9461889,1.4166727,0.72771645,0.40205193,10.18985,55
RUNX2,0.14486736,0.0332378,0.11162956,2.0909953,0.813381,0.2959723,4.7235017,56
CENPP,0.103926465,0.016420858,0.08750561,2.590491,0.8635545,0.28982547,5.407997,57
TENM3,0.09568739,0.012944408,0.08274298,2.793641,0.88084143,0.30007848,5.7266183,58
PLPP4,0.12375222,0.025222626,0.09852959,2.2501814,0.83069205,0.29688627,4.898524,59
SPATS2L,0.34527284,0.112325475,0.23294736,1.611437,0.7545326,0.59147286,4.8484592,60
ARHGAP28,0.10927637,0.019955683,0.08932069,2.3957102,0.8455826,0.29958543,5.0805783,61
ZNF469,0.11720735,0.023708012,0.09349933,2.2582688,0.83175707,0.30537304,4.872637,62
FKBP14,0.18678664,0.05228795,0.13449869,1.8172132,0.78129023,0.49299645,4.425182,63
CILP2,0.07286515,0.0037544575,0.06911069,3.9575412,0.9509987,0.43345562,7.660882,63
LGR4,0.16194238,0.042544026,0.119398355,1.9038152,0.79194695,0.32345405,4.4568644,65
HMCN1,0.42413834,0.14769809,0.27644026,1.5155462,0.7417127,0.38915434,5.0267105,66
KANK3,0.1294933,0.031171378,0.098321915,2.020126,0.80598485,0.1052095,4.4930735,67
FABP5,0.41463706,0.1451073,0.26952976,1.508296,0.74076146,0.337446,4.9589205,67
P4HA2,0.57277346,0.21136673,0.36140674,1.4339235,0.73044777,0.5092293,5.5604744,69
NRG1,0.068107836,0.005073947,0.063033886,3.5081432,0.9306665,0.29797733,6.8236732,70
MIR503HG,0.0995502,0.019645227,0.07990497,2.284036,0.8351847,0.1960082,4.8095407,71
C7orf50,0.17632556,0.052556768,0.12376879,1.7272598,0.77037644,0.41058645,4.181797,72
KIF26B,0.06931134,0.007053675,0.06225767,3.1260383,0.9076321,0.2621069,6.1468143,73
DNM3OS,0.8327918,0.32221708,0.5105747,1.3671838,0.7210263,0.30706877,6.631931,74
ITGA10,0.06518936,0.005707864,0.059481498,3.3026738,0.919491,0.25629124,6.4347253,75
IKBIP,0.47370118,0.1774255,0.29627568,1.4116977,0.72751004,0.4153543,5.002487,76
SPHK1,0.27375636,0.09350574,0.18025061,1.5396789,0.7453978,0.2562741,4.3026114,77
PLVAP,0.12511697,0.03193948,0.0931775,1.9368728,0.79663694,0.12612645,4.305955,78
C1orf122,0.17342257,0.05339207,0.12003051,1.6811186,0.76460046,0.55830836,4.0710225,79
VWF,0.2194209,0.071515724,0.14790517,1.6038952,0.75418794,0.12054098,4.15759,80
RRBP1,0.46102437,0.17388825,0.28713614,1.4015355,0.72612256,0.72175574,4.9118247,81
GUCY1A2,0.11869636,0.029814197,0.08888216,1.9577122,0.79924524,0.16478743,4.308306,81
C4orf48,0.12109928,0.031166922,0.08993235,1.924405,0.79531294,0.3313485,4.2582135,83
WNT5A,0.101853125,0.022609401,0.07924372,2.1231523,0.8183437,0.20587407,4.5218873,83
HOMER3,0.26113287,0.08936679,0.17176607,1.5364335,0.7450303,0.27439559,4.2293086,85
SPARC,7.65736,3.224639,4.432721,1.2474505,0.7036722,1.234812,37.674175,86
HEY1,0.12831083,0.034643438,0.09366739,1.8591348,0.7874039,0.19433385,4.173412,87
P3H4,0.21095379,0.07009084,0.14086294,1.5760142,0.750606,0.33983237,4.052539,88
PDE1A,0.21177222,0.070693284,0.14107893,1.5693998,0.74972767,0.18806596,4.04265,89
SEC61G,0.420816,0.1589364,0.26187962,1.3991154,0.7258547,0.68638873,4.7063284,90
IGFBP2,0.122188136,0.03256444,0.0896237,1.875858,0.7895709,0.28450865,4.1705437,91
CHST6,0.05103758,0.0008374775,0.0502001,4.8237553,0.98385584,0.21414109,9.030585,92
PLOD1,0.2898537,0.104934946,0.18491875,1.4571149,0.7341997,0.35171208,4.194891,93
TPM4,1.0642685,0.44173744,0.62253106,1.266694,0.7066828,0.6728109,7.347639,94
BMP1,0.3950375,0.14973591,0.24530159,1.3936138,0.7251409,0.3707994,4.5645747,95
COL14A1,4.6566114,1.9816892,2.6749222,1.2321316,0.7014764,0.7389336,23.640812,97
ATOX1,0.26674774,0.095102295,0.17164545,1.4782315,0.7371776,0.48895288,4.1261907,97
BNC2,0.26091313,0.09280176,0.16811138,1.4814014,0.73763686,0.26027334,4.1035943,97
SLC24A2,0.048534617,0.00025311613,0.048281502,5.304845,0.9948119,0.19003613,9.859711,99
RAC3,0.052907463,0.0034859024,0.04942156,3.587015,0.93818593,0.27282348,6.853644,100
RABAC1,0.36196256,0.13852169,0.22344087,1.3793314,0.7232247,0.7550033,4.365316,101
NME4,0.27979523,0.10354785,0.17624739,1.425355,0.72988206,0.41053036,4.0700502,102
PLAU,0.4065072,0.15778422,0.24872297,1.3597579,0.7203852,0.257258,4.532413,103
PXDN,0.5460531,0.21962465,0.32642847,1.3100868,0.7131631,0.2941471,5.0644016,104
PECAM1,0.1520151,0.048257217,0.10375789,1.6352671,0.759042,0.15707472,3.8608804,105
PYCR1,0.20443587,0.07156099,0.13287488,1.5014222,0.74071807,0.38627008,3.857964,106
SRPRB,0.11655684,0.03304072,0.08351612,1.788025,0.779136,0.29377633,3.9677122,107
SERPINH1,1.6207433,0.69477314,0.92597014,1.2208567,0.6999489,0.64132833,9.685044,108
ADAMTS14,0.05611395,0.0066308137,0.049483135,2.9039342,0.89432085,0.22617151,5.655185,108
FKBP11,0.24113251,0.088154815,0.1529777,1.4414122,0.73228604,0.31584293,3.912817,110
LUZP2,0.06274248,0.010334476,0.052408002,2.4915376,0.8585809,0.15302931,4.9546485,112
