source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,condition
Pericyte_SMC,T_cell,LGALS1,PTPRC,2.0488734,0.0,3.9279523,0.8723794106081122,1.5979561595021239,0.15966576,0.963745,0.07762764502292402,0.006334865406806077,Keloid
Fibroblast,Myeloid,COL6A1,CD44,2.048897,0.0,2.6548755,0.6979640502690474,1.4861188237817997,0.09042709,0.9562441,0.07807018402776399,0.006494763005338348,Keloid
Pericyte_SMC,T_cell,COL1A2,CD44,2.038781,0.0,3.0721025,0.31371016271669794,0.18410330622449,0.05384668,0.9591981,0.5176976800330375,0.006656614621011398,Keloid
Keratinocyte,T_cell,S100A8,CD69,2.0281973,0.0,3.7014675,1.4504611397246445,4.413546752985383,0.6754648,0.962693,4.955519425419927e-06,0.006820419726501452,Keloid
Pericyte_SMC,Pericyte_SMC,VIM,CD44,2.188849,0.0,2.632032,0.24648808382980922,0.3198867114042041,0.03707683,0.956063,1.0,0.006820419726501452,Keloid
Pericyte_SMC,Myeloid,COL1A1,CD44,2.0233119,0.0,2.6135972,0.1893319653221767,-0.08680571107092083,0.040555477,0.95591515,1.0,0.006986177837435622,Keloid
T_cell,Endothelial,CALM1,AQP1,2.0112526,0.0,4.0435686,0.9479104515741843,2.0580566479503544,0.17060554,0.9642484,0.014981955895913607,0.007323543849189464,Keloid
Fibroblast,Myeloid,LGALS1,PTPRC,2.0867457,0.0,2.5081837,0.6990586874674101,1.3187178821683867,0.10195415,0.9550395,0.07762764502292402,0.008021639431128887,Keloid
Pericyte_SMC,T_cell,LGALS1,CD69,1.9773275,0.0,3.5604327,0.9864934446044467,1.9465134621022466,0.22143698,0.9619891,0.020317846591294358,0.008382346587535906,Keloid
Fibroblast,Myeloid,APP,CD74,2.148191,0.0,2.4871895,0.9195057863968533,2.214063856421174,0.15010868,0.95485866,0.018281319746041604,0.008382346587535906,Keloid
Myeloid,Keratinocyte,VIM,CD44,1.9769133,0.0,3.0618727,0.17103913400079576,0.046603095794088834,0.0431319,0.9591328,0.8155939773946221,0.008750811711715422,Keloid
Fibroblast,Fibroblast,COL1A1,CD44,3.0411088,0.0,2.4778078,0.5509615379801811,1.3079754735795677,0.038448416,0.9547772,0.5990480457864074,0.008937949492588665,Keloid
Fibroblast,Myeloid,TIMP1,CD63,1.9604015,0.0,3.6735885,0.4687625396146973,0.9111660951719858,0.06494547,0.962557,0.25581073003609756,0.00912702255218778,Keloid
Fibroblast,T_cell,LGALS1,ITGB1,2.0807765,0.0,2.4670477,0.3864774822495492,0.7655933052448813,0.03976904,0.9546831,0.5990480457864074,0.00912702255218778,Keloid
Fibroblast,Keratinocyte,MFGE8,ITGB5,0.18174276,0.0,0.03195693,0.03706302900381882,-0.06761381828740348,0.036471482,0.70568246,1.0,0.009140143166886742,Keloid
Fibroblast,Fibroblast,SPARC,FGFR1,2.434161,0.0,2.3807151,0.8498025270186572,1.824964054109053,0.1640059,0.9539063,0.04258472249855932,0.00990264173494762,Keloid
Myeloid,T_cell,VIM,CD44,1.9471209,0.0,2.8892636,0.14365371925263856,0.2560718903656255,0.040700395,0.95798033,0.8609290910591029,0.01010137019662246,Keloid
Pericyte_SMC,Myeloid,COL1A2,CD44,1.943433,0.0,2.484724,0.22606545869919836,-9.787522950377436e-05,0.043551326,0.9548373,0.9480004419448161,0.010302027748372836,Keloid
Fibroblast,Pericyte_SMC,COL6A1,CD44,2.0053,0.0,2.3679104,0.657889359016431,1.3442720686168768,0.08065285,0.9537876,0.11570322553890322,0.010302027748372836,Keloid
